,F2,pairs,time,node_distance
0,1.0,1,110000.0,1
1,1.0,1,110000.0,1
2,1.0,1,110000.0,1
3,1.0,1,110000.0,1
4,1.0,1,110000.0,1
5,1.0,1,110000.0,1
6,1.0,1,110000.0,1
7,1.0,1,110000.0,1
8,1.0,1,110000.0,1
9,1.0,1,110000.0,1
10,1.0,2,220000.0,1
11,1.0,1,110000.0,1
12,1.0,1,110000.0,1
13,1.0,2,210000.0,1
14,1.0,1,110000.0,1
15,1.0,1,110000.0,1
16,1.0,1,110000.0,1
17,1.0,1,110000.0,1
18,1.0,1,110000.0,1
19,1.0,1,110000.0,1
20,1.0,1,110000.0,1
21,1.0,1,110000.0,1
22,1.0,1,110000.0,1
23,1.0,1,110000.0,1
24,1.0,1,110000.0,1
25,1.0,2,210000.0,1
26,1.0,1,110000.0,1
27,1.0,1,110000.0,1
28,1.0,1,110000.0,1
29,1.0,1,110000.0,1
30,1.0,1,110000.0,1
31,1.0,1,110000.0,1
32,1.0,1,110000.0,1
33,1.0,1,110000.0,1
34,1.0,1,110000.0,1
35,1.0,1,110000.0,1
36,1.0,1,110000.0,1
37,1.0,1,110000.0,1
38,1.0,1,110000.0,1
39,1.0,1,110000.0,1
40,1.0,1,110000.0,1
41,1.0,1,110000.0,1
42,1.0,1,110000.0,1
43,1.0,1,110000.0,1
44,1.0,1,110000.0,1
45,1.0,1,110000.0,1
46,1.0,1,110000.0,1
47,1.0,1,110000.0,1
48,1.0,1,110000.0,1
49,1.0,1,110000.0,1
50,1.0,1,110000.0,1
51,1.0,1,110000.0,1
52,1.0,2,220000.0,1
53,1.0,1,110000.0,1
54,1.0,1,110000.0,1
55,1.0,1,110000.0,1
56,1.0,2,220000.0,1
57,1.0,1,110000.0,1
58,1.0,1,110000.0,1
59,1.0,1,110000.0,1
60,1.0,1,110000.0,1
61,1.0,1,110000.0,1
62,1.0,1,110000.0,1
63,1.0,1,110000.0,1
64,1.0,1,110000.0,1
65,1.0,2,210000.0,1
66,1.0,1,110000.0,1
67,1.0,1,110000.0,1
68,1.0,1,110000.0,1
69,1.0,1,110000.0,1
70,1.0,1,110000.0,1
71,1.0,1,110000.0,1
72,1.0,1,110000.0,1
73,1.0,2,220000.0,1
74,1.0,1,110000.0,1
75,1.0,2,220000.0,1
76,1.0,1,110000.0,1
77,1.0,1,110000.0,1
78,1.0,1,110000.0,1
79,1.0,1,110000.0,1
80,1.0,1,110000.0,1
81,1.0,2,220000.0,1
82,1.0,1,110000.0,1
83,1.0,1,110000.0,1
84,1.0,1,110000.0,1
85,1.0,1,110000.0,1
86,1.0,1,110000.0,1
87,1.0,1,110000.0,1
88,1.0,1,110000.0,1
89,1.0,1,110000.0,1
90,1.0,1,110000.0,1
91,1.0,3,330000.0,1
92,1.0,1,110000.0,1
93,1.0,1,110000.0,1
94,1.0,1,110000.0,1
95,1.0,3,330000.0,1
96,1.0,1,110000.0,1
97,1.0,1,110000.0,1
98,1.0,2,210000.0,1
99,1.0,1,110000.0,1
0,1.0,1,210000.0,11
1,1.0,1,210000.0,11
2,1.0,1,210000.0,11
3,1.0,1,210000.0,11
4,1.0,1,210000.0,11
5,1.0,1,210000.0,11
6,1.0,1,210000.0,11
7,1.0,1,210000.0,11
8,1.0,1,210000.0,11
9,1.0,1,210000.0,11
10,1.0,1,210000.0,11
11,1.0,1,210000.0,11
12,1.0,1,210000.0,11
13,1.0,1,210000.0,11
14,1.0,1,210000.0,11
15,1.0,1,210000.0,11
16,1.0,1,210000.0,11
17,1.0,1,210000.0,11
18,1.0,1,210000.0,11
19,1.0,1,210000.0,11
20,1.0,1,210000.0,11
21,1.0,2,420000.0,11
22,1.0,1,210000.0,11
23,1.0,1,210000.0,11
24,1.0,1,210000.0,11
25,1.0,1,210000.0,11
26,1.0,1,210000.0,11
27,1.0,1,210000.0,11
28,0.0,1,210000.0,11
29,1.0,1,210000.0,11
30,1.0,2,310000.0,11
31,1.0,1,210000.0,11
32,1.0,1,210000.0,11
33,1.0,1,210000.0,11
34,1.0,1,210000.0,11
35,1.0,1,210000.0,11
36,1.0,2,420000.0,11
37,1.0,1,210000.0,11
38,1.0,1,210000.0,11
39,1.0,1,210000.0,11
40,1.0,1,210000.0,11
41,1.0,2,420000.0,11
42,1.0,1,210000.0,11
43,1.0,1,210000.0,11
44,1.0,1,210000.0,11
45,1.0,1,210000.0,11
46,1.0,1,210000.0,11
47,1.0,1,210000.0,11
48,1.0,1,210000.0,11
49,1.0,1,210000.0,11
50,1.0,1,210000.0,11
51,1.0,1,210000.0,11
52,1.0,1,210000.0,11
53,1.0,1,210000.0,11
54,1.0,1,210000.0,11
55,1.0,1,210000.0,11
56,1.0,1,210000.0,11
57,1.0,1,210000.0,11
58,1.0,1,210000.0,11
59,1.0,1,210000.0,11
60,1.0,1,210000.0,11
61,1.0,1,210000.0,11
62,1.0,1,210000.0,11
63,1.0,1,210000.0,11
64,1.0,1,210000.0,11
65,1.0,1,210000.0,11
66,1.0,1,210000.0,11
67,1.0,1,210000.0,11
68,1.0,1,210000.0,11
69,1.0,1,210000.0,11
70,1.0,1,210000.0,11
71,1.0,2,310000.0,11
72,1.0,1,210000.0,11
73,1.0,1,210000.0,11
74,1.0,1,210000.0,11
75,1.0,1,210000.0,11
76,1.0,1,210000.0,11
77,1.0,1,210000.0,11
78,1.0,1,210000.0,11
79,1.0,2,310000.0,11
80,1.0,1,210000.0,11
81,1.0,1,210000.0,11
82,1.0,1,210000.0,11
83,1.0,2,310000.0,11
84,1.0,1,210000.0,11
85,1.0,1,210000.0,11
86,1.0,1,210000.0,11
87,1.0,1,210000.0,11
88,1.0,1,210000.0,11
89,1.0,1,210000.0,11
90,1.0,1,210000.0,11
91,1.0,1,210000.0,11
92,1.0,1,210000.0,11
93,1.0,1,210000.0,11
94,1.0,1,210000.0,11
95,1.0,1,210000.0,11
96,1.0,1,210000.0,11
97,1.0,1,210000.0,11
98,1.0,1,210000.0,11
99,1.0,1,210000.0,11
0,1.0,3,720000.0,21
1,1.0,1,310000.0,21
2,1.0,1,310000.0,21
3,1.0,1,310000.0,21
4,1.0,1,310000.0,21
5,1.0,1,310000.0,21
6,1.0,1,310000.0,21
7,1.0,1,310000.0,21
8,1.0295220005548027e-34,1,310000.0,21
9,1.0,1,310000.0,21
10,1.0,1,310000.0,21
11,1.0,1,310000.0,21
12,1.0,1,310000.0,21
13,1.0,1,310000.0,21
14,1.0,1,310000.0,21
15,1.0,1,310000.0,21
16,1.0,1,310000.0,21
17,1.0,1,310000.0,21
18,1.0,1,310000.0,21
19,1.0,1,310000.0,21
20,1.0,1,310000.0,21
21,1.0,1,310000.0,21
22,1.0,1,310000.0,21
23,1.0295220005548027e-34,1,310000.0,21
24,1.0,1,310000.0,21
25,1.0,1,310000.0,21
26,1.0,1,310000.0,21
27,1.0,1,310000.0,21
28,1.0,1,310000.0,21
29,1.0,1,310000.0,21
30,1.0,1,310000.0,21
31,1.0,1,310000.0,21
32,1.0,1,310000.0,21
33,1.0,1,310000.0,21
34,1.0,1,310000.0,21
35,1.0,1,310000.0,21
36,1.0,1,310000.0,21
37,1.0,1,310000.0,21
38,1.0,1,310000.0,21
39,1.0,1,310000.0,21
40,1.0,1,310000.0,21
41,1.0,2,410000.0,21
42,1.0,1,310000.0,21
43,1.0,1,310000.0,21
44,1.0,1,310000.0,21
45,1.0,1,310000.0,21
46,1.0,1,310000.0,21
47,1.0,2,620000.0,21
48,1.0,2,410000.0,21
49,1.0,1,310000.0,21
50,1.0,1,310000.0,21
51,1.0,1,310000.0,21
52,1.0,1,310000.0,21
53,1.0,1,310000.0,21
54,1.0,1,310000.0,21
55,1.0,1,310000.0,21
56,0.0,2,620000.0,21
57,1.0,1,310000.0,21
58,1.0,1,310000.0,21
59,1.0,1,310000.0,21
60,1.0,1,310000.0,21
61,1.0,2,410000.0,21
62,1.0,2,410000.0,21
63,1.0,1,310000.0,21
64,1.0,2,620000.0,21
65,1.0,1,310000.0,21
66,1.0,1,310000.0,21
67,1.0,1,310000.0,21
68,1.0,1,310000.0,21
69,1.0,1,310000.0,21
70,1.0,1,310000.0,21
71,0.0,1,310000.0,21
72,1.0,1,310000.0,21
73,1.0,1,310000.0,21
74,1.0,1,310000.0,21
75,1.0,1,310000.0,21
76,1.0,1,310000.0,21
77,1.0,1,310000.0,21
78,1.0,1,310000.0,21
79,1.0,1,310000.0,21
80,0.0,1,310000.0,21
81,1.0,1,310000.0,21
82,1.0,1,310000.0,21
83,1.0,1,310000.0,21
84,1.0,2,620000.0,21
85,1.0,1,310000.0,21
86,1.0,1,310000.0,21
87,1.0,1,310000.0,21
88,1.0,1,310000.0,21
89,1.0,1,310000.0,21
90,1.0,1,310000.0,21
91,1.0,1,310000.0,21
92,1.0,1,310000.0,21
93,1.0,1,310000.0,21
94,1.0,1,310000.0,21
95,1.0,1,310000.0,21
96,1.0,1,310000.0,21
97,1.0,1,310000.0,21
98,1.0,1,310000.0,21
99,1.0,1,310000.0,21
0,1.0,1,410000.0,31
1,1.0,1,410000.0,31
2,0.0,1,410000.0,31
3,1.0,1,410000.0,31
4,1.0,1,410000.0,31
5,0.0,1,410000.0,31
6,1.0,1,410000.0,31
7,1.0,1,410000.0,31
8,1.0,1,410000.0,31
9,1.0,1,410000.0,31
10,1.0,1,410000.0,31
11,1.0,1,410000.0,31
12,1.0,1,410000.0,31
13,0.0,1,410000.0,31
14,1.0,1,410000.0,31
15,1.0,1,410000.0,31
16,1.0,1,410000.0,31
17,0.0,1,410000.0,31
18,1.0,1,410000.0,31
19,1.0,1,410000.0,31
20,0.0,2,820000.0,31
21,1.0,1,410000.0,31
22,1.0,1,410000.0,31
23,1.0,1,410000.0,31
24,0.0,1,410000.0,31
25,1.0,1,410000.0,31
26,1.0,1,410000.0,31
27,1.0,1,410000.0,31
28,1.0,1,410000.0,31
29,1.0,2,510000.0,31
30,1.0,1,410000.0,31
31,1.0,1,410000.0,31
32,1.0,1,410000.0,31
33,0.0,1,410000.0,31
34,1.0,1,410000.0,31
35,1.0,1,410000.0,31
36,0.0,1,410000.0,31
37,1.0,1,410000.0,31
38,1.0,1,410000.0,31
39,0.0,1,410000.0,31
40,0.0,1,410000.0,31
41,1.0,1,410000.0,31
42,1.0295220005548027e-34,1,410000.0,31
43,0.0,1,410000.0,31
44,1.0,2,510000.0,31
45,1.0,1,410000.0,31
46,1.0,1,410000.0,31
47,1.0,1,410000.0,31
48,1.0,1,410000.0,31
49,1.0,1,410000.0,31
50,0.0,1,410000.0,31
51,1.0,1,410000.0,31
52,1.0,1,410000.0,31
53,1.0,1,410000.0,31
54,1.0,1,410000.0,31
55,1.0,1,410000.0,31
56,1.0,1,410000.0,31
57,0.0,1,410000.0,31
58,1.0,1,410000.0,31
59,1.0295220005548027e-34,1,410000.0,31
60,1.0,1,410000.0,31
61,1.0,1,410000.0,31
62,1.0,2,820000.0,31
63,1.0,1,410000.0,31
64,1.0,1,410000.0,31
65,1.0,1,410000.0,31
66,1.0,1,410000.0,31
67,1.0,1,410000.0,31
68,1.0,1,410000.0,31
69,1.0,1,410000.0,31
70,1.0,1,410000.0,31
71,1.0,1,410000.0,31
72,1.0,1,410000.0,31
73,1.0,1,410000.0,31
74,1.0,2,510000.0,31
75,0.0,1,410000.0,31
76,1.0,1,410000.0,31
77,1.0,1,410000.0,31
78,1.0,1,410000.0,31
79,1.0295220005548027e-34,1,410000.0,31
80,1.0,1,410000.0,31
81,1.0,1,410000.0,31
82,1.0,1,410000.0,31
83,1.0,1,410000.0,31
84,1.0,1,410000.0,31
85,1.0,1,410000.0,31
86,1.0,1,410000.0,31
87,1.0,1,410000.0,31
88,1.0,1,410000.0,31
89,0.0,1,410000.0,31
90,0.0,1,410000.0,31
91,1.0,1,410000.0,31
92,1.0,1,410000.0,31
93,1.0,1,410000.0,31
94,1.0,3,1230000.0,31
95,0.0,1,410000.0,31
96,1.0,1,410000.0,31
97,0.0,1,410000.0,31
98,0.0,1,410000.0,31
99,1.0,1,410000.0,31
